record,prow,pcol,harvester,checks,plot,bloc,entry,r_expt,r_location,loccode,loc,year1,name,source,identity1,v_desc,selection,pedigree,growthstag,headcode,htcm,MicroSD,mmbran,mmch,mmflour,mmmids,notes,notes2,plotlen,plotwid,ppass,ppo,twtg,yieldg,ROI Label,Group,Name,Area of Ground,Area of Plant,Total ROI Area,% Ground Cover,% Plant Cover
999999,999999,999999,999999,999999,999999,999999,999999,xxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxxxx,999999,999999,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxxxxxxxxxxx,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,999999,xxxxxxxx,999999,999999,999999,999999,999999,999999,XXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXX,999999,999999,999999,xxxxxxxx,999999,999999,XXXXXX,XXXXXXXX,99999999,99999999,99999999,99999999,99999999,99999999
1,10,1,0,0,2001,1,122,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-37,,14X1053,,-37,(X010746-4C/SY OVATION),45,cbw,86,0.9,4.44,1,3.28,13.2,,,335.28,5.5,,M,61.05,1770,R01,19 F5-1,2001,1904,1167,3071,0.62,0.38
2,11,1,0,0,2002,1,31,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-55,,14X1054,,-55,(X010817-4L/X06141-8C),47,caw,75,2.7,4.33,2,4.58,11.6,,,358.14,5.5,,M,59.9,1600,Q01,19 F5-1,2002,480,2591,3071,0.156,0.844
3,12,1,0,0,2003,1,48,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-46,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),41,lbw,73,0.7,4.4,3,5.04,11.4,,,345.44,5.5,,M,60.49,2090,P01,19 F5-1,2003,1318,1753,3071,0.429,0.571
4,13,1,0,0,2004,1,111,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-28,,14X1053,,-28,(X010746-4C/SY OVATION),43,cbw,95,2.1,4.13,4,5.31,11.2,,,378.46,5.5,,D,60.97,2780,O01,19 F5-1,2004,707,2364,3071,0.23,0.77
5,14,1,0,0,2005,1,96,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-73,,14X1115,,-73,(WA008134/X070036-0-0-47C),41,cbw,90,0.7,4.71,1,2.76,12.1,,,330.2,5.5,,M,60.71,1650,N01,19 F5-1,2005,244,2827,3071,0.079,0.921
6,15,1,0,0,2006,1,80,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-45,,14X1115,,-45,(WA008134/X070036-0-0-47C),41,cbw,96,0.8,3.98,2,4.69,10.8,,,358.14,5.5,,L,61.7,1950,M01,19 F5-1,2006,255,2816,3071,0.083,0.917
7,16,1,0,0,2007,1,59,19 F5-1 LIND,Lind,LIN,2,2019,14X1082-0-0-22,,14X1082,,-22,(X06137-2C/HS00162-5L-3),43,cbw,87,2.9,4.28,3,4.58,11.3,,,340.36,5.5,,M,60.18,1890,L01,19 F5-1,2007,1425,1646,3071,0.464,0.536
8,17,1,0,0,2008,1,27,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-31,,14X1054,,-31,(X010817-4L/X06141-8C),49,caw,76,3,4.2,4,4.75,11,,,365.76,5.5,,D,59.57,1710,K01,19 F5-1,2008,1790,1281,3071,0.583,0.417
9,18,1,0,0,2009,1,119,19 F5-1 LIND,Lind,LIN,2,2019,SY Command,,,,,,47,lbw,70,2.4,3.79,1,3.46,10.4,,,353.06,5.5,,D,60.34,1890,J01,19 F5-1,2009,739,2332,3071,0.241,0.759
10,19,1,0,0,2010,1,68,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-14,,14X1115,,-14,(WA008134/X070036-0-0-47C),49,cbw,78,0.8,3.9,2,5.53,11.8,,,347.98,5.5,,M,62.28,1540,I01,19 F5-1,2010,687,2384,3071,0.224,0.776
11,20,1,0,0,2011,1,12,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-83,,14X1085,,-2-C-0-0-83,(X06141-2C/04-10001A),47,cbaw,73,1,3.8,3,5.62,12.1,,,363.22,5.5,,D,61.27,1860,H01,19 F5-1,2011,144,2927,3071,0.047,0.953
12,21,1,0,0,2012,1,103,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-9,,14X1053,,-9,(X010746-4C/SY OVATION),45,cbw,76,1.8,3.49,4,5.48,10.4,,,345.44,5.5,,D,58.9,2270,G01,19 F5-1,2012,1198,1873,3071,0.39,0.61
13,22,1,0,0,2013,1,54,19 F5-1 LIND,Lind,LIN,2,2019,14X1082-0-0-10,,14X1082,,-10,(X06137-2C/HS00162-5L-3),45,caw,82,2,4.2,1,4.12,12.7,,,358.14,5.5,,M,57.99,2080,F01,19 F5-1,2013,1211,1860,3071,0.394,0.606
14,23,1,0,0,2014,1,124,19 F5-1 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,85,1.7,3.3,2,5.7,10.4,,,355.6,5.5,,D,58.33,2430,E01,19 F5-1,2014,1812,1259,3071,0.59,0.41
15,24,1,0,0,2015,1,7,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-56,,14X1085,,-2-C-0-0-56,(X06141-2C/04-10001A),49,cbaw,85,1.4,3.7,3,5.53,10.8,,,350.52,5.5,,D,59.04,2020,D01,19 F5-1,2015,2110,961,3071,0.687,0.313
16,25,1,0,0,2016,1,101,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-6,,14X1053,,-6,(X010746-4C/SY OVATION),41,cbw,80,4.1,3.5,4,5.87,10.1,,,365.76,5.5,,D,60.85,1770,C01,19 F5-1,2016,1960,1111,3071,0.638,0.362
17,26,1,0,0,2017,1,118,19 F5-1 LIND,Lind,LIN,2,2019,SY Banks,,,,,,47,lbw,83,2.2,3.52,1,3.1,11.9,,,332.74,5.5,,M,58.89,2010,B01,19 F5-1,2017,1347,1724,3071,0.439,0.561
18,27,1,0,0,2018,1,11,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-71,,14X1085,,-2-C-0-0-71,(X06141-2C/04-10001A),47,caw,77,4,4.09,2,5.1,11.3,,,274.32,5.5,,M,59.63,1480,A01,19 F5-1,2018,1198,1873,3071,0.39,0.61
19,27,2,0,0,2019,1,2,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-10,,14X1085,,-2-C-0-0-10,(X06141-2C/04-10001A),47,cbw,72,2.3,3.68,3,5.23,10.8,,,355.6,5.5,,D,59.49,1530,A02,19 F5-1,2019,1808,1263,3071,0.589,0.411
20,26,2,0,0,2020,1,35,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-64,,14X1054,,-64,(X010817-4L/X06141-8C),49,caw,83,3.1,4.14,4,5.62,11,,,337.82,5.5,,M,59.74,1980,B02,19 F5-1,2020,1178,1893,3071,0.384,0.616
21,25,2,0,0,2021,1,113,19 F5-1 LIND,Lind,LIN,2,2019,ARS Crescent,,,,,Dusty//MDN sib/Dusty///WA7665/RULO,41,cbw,76,1.1,4.06,1,3.85,11.7,,,363.22,5.5,,M,61.34,1650,C02,19 F5-1,2021,1518,1553,3071,0.494,0.506
22,24,2,0,0,2022,1,36,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-65,,14X1054,,-65,(X010817-4L/X06141-8C),49,caw,84,2,4.19,2,4.43,11.1,,,365.76,5.5,,M,59.52,1830,D02,19 F5-1,2022,1211,1860,3071,0.394,0.606
23,23,2,0,0,2023,1,72,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-22,,14X1115,,-22,(WA008134/X070036-0-0-47C),41,cbw,73,1.5,4.65,3,4.94,11.6,,,350.52,5.5,,M,.,1320,E02,19 F5-1,2023,604,2467,3071,0.197,0.803
24,22,2,0,0,2024,1,58,19 F5-1 LIND,Lind,LIN,2,2019,14X1082-0-0-21,,14X1082,,-21,(X06137-2C/HS00162-5L-3),51,cbw,105,1.4,4.14,4,5.23,11.4,,,368.3,5.5,,M,57.64,2660,F02,19 F5-1,2024,838,2233,3071,0.273,0.727
25,21,2,0,0,2025,1,124,19 F5-1 LIND,Lind,LIN,2,2019,Pritchett,16 SOFT ELITE ADV DIS,4J071366-1,17 Soft Elite,,3J030235-1//Bruehl -1 -4,45,cbw,85,1.6,2.98,1,3.1,8.77,,,322.58,5.5,,D,60.43,2130,G02,19 F5-1,2025,864,2207,3071,0.281,0.719
26,20,2,0,0,2026,1,10,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-68,,14X1085,,-2-C-0-0-68,(X06141-2C/04-10001A),49,cbw,85,0.8,4.01,2,4.48,11.5,,,378.46,5.5,,M,62.36,1760,H02,19 F5-1,2026,186,2885,3071,0.061,0.939
27,19,2,0,0,2027,1,43,19 F5-1 LIND,Lind,LIN,2,2019,14X1098-0-0-31,,14X1098,,#NAME?,(X070070-0-0-22L/X070036-0-0-51C),45,cbw,77,0.8,4.22,3,5.13,10.5,,,358.14,5.5,,L,60.32,1530,I02,19 F5-1,2027,1030,2041,3071,0.335,0.665
28,18,2,0,0,2028,1,116,19 F5-1 LIND,Lind,LIN,2,2019,LCS-HULK,,,,,,47,lbw,80,4.8,3.71,4,4.82,9.89,,,373.38,5.5,,D,60.37,1690,J02,19 F5-1,2028,1545,1526,3071,0.503,0.497
29,17,2,0,0,2029,1,110,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-23,,14X1053,,-23,(X010746-4C/SY OVATION),41,cbw,72,2.5,4.09,1,3.55,12.1,,,363.22,5.5,,L,61.38,2040,K02,19 F5-1,2029,1869,1202,3071,0.609,0.391
30,16,2,0,0,2030,1,3,19 F5-1 LIND,Lind,LIN,2,2019,14X1085-0-0-11,,14X1085,,-2-C-0-0-11,(X06141-2C/04-10001A),47,cbaw,74,3.9,3.84,2,4.66,10.4,,,363.22,5.5,,D,60.88,1690,L02,19 F5-1,2030,556,2515,3071,0.181,0.819
31,15,2,0,0,2031,1,67,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-11,,14X1115,,-11,(WA008134/X070036-0-0-47C),45,cbw,88,1.2,4.13,3,5.23,11.9,,,342.9,5.5,,M,62.24,1770,M02,19 F5-1,2031,222,2849,3071,0.072,0.928
32,14,2,0,0,2032,1,99,19 F5-1 LIND,Lind,LIN,2,2019,14X1053-0-0-4,,14X1053,,-4,(X010746-4C/SY OVATION),45,cbw,90,2.3,4.17,4,5.7,11.8,,,350.52,5.5,,D,61.46,2200,N02,19 F5-1,2032,175,2896,3071,0.057,0.943
33,13,2,0,0,2033,1,123,19 F5-1 LIND,Lind,LIN,2,2019,Jasper,2019 Freeze Test,WA 8169,SWW,,J950081-0001/Brundage 96 - 2,45,cbw,78,3.3,2.94,1,3.23,7.69,,,373.38,5.5,,M,59.81,2080,O02,19 F5-1,2033,1038,2033,3071,0.338,0.662
34,12,2,0,0,2034,1,23,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-14,,14X1054,,-14,(X010817-4L/X06141-8C),49,caw,76,3.3,3.85,2,5.22,11.3,,,363.22,5.5,,M,60.11,2020,P02,19 F5-1,2034,1726,1345,3071,0.562,0.438
35,11,2,0,0,2035,1,87,19 F5-1 LIND,Lind,LIN,2,2019,14X1115-0-0-55,,14X1115,,-55,(WA008134/X070036-0-0-47C),45,cbw,80,2.2,3.54,3,4.51,9.33,,,347.98,5.5,,D,60.53,1740,Q02,19 F5-1,2035,1103,1968,3071,0.359,0.641
36,10,2,0,0,2036,1,30,19 F5-1 LIND,Lind,LIN,2,2019,14X1054-0-0-46,,14X1054,,-46,(X010817-4L/X06141-8C),49,caw,76,3.6,3.98,4,5.91,11.9,,,375.92,5.5,,D,59.56,1860,R02,19 F5-1,2036,1703,1368,3071,0.555,0.445
